Tree_Name	Display_Name
Cercocebus_torquatus	Cercocebus Torquatus
Cercopithecus_aethiops	Cercopithecus Aethiops
Cercopithecus_mona	Cercopithecus Mona
Cercopithecus_nictitans	Cercopithecus Nictitans
Colobus_angolensis	Colobus Angolensis
Colobus_guereza	Colobus Quereza
Colobus_polykomos	Colobus Polykomos
Gorilla_gorilla	Gorilla Gorilla
Homo_sapiens	Homo Aapiens
Hylobates_agilis	Hylobates Agilis
Hylobates_concolor	Hylobates Concolor
Hylobates_gabriellae	Hylobates Gabriellae
Hylobates_hoolock	Hylobates Hoolock
Hylobates_klossii	Hylobates Klossii
Hylobates_lar	Hylobates Lar
Hylobates_leucogenys	Hylobates Leucogenys
Hylobates_moloch	Hylobates Moloch
Hylobates_muelleri	Hylobates Muelleri
Hylobates_pileatus	Hylobates Pileatus
Hylobates_syndactylus	Hylobates Syndactylus
Macaca_brunnescens	Macaca Brunnescens
Macaca_cyclopis	Macaca Cyclopis
Macaca_fascicularis	Macaca Fascicularis
Macaca_hecki	Macaca Hecki
Macaca_maura	Macaca Maura
Macaca_mulatta	Macaca Mulatta
Macaca_nemestrina	Macaca Nemestrina
Macaca_nigra	Macaca Nigra
Macaca_nigriscens	Macaca Nigriscens
Macaca_ochreata	Macaca Ochreata
Macaca_silenus	Macaca Silenus
Macaca_sylvanus	Macaca Sylvanus
Macaca_tonkeana	Macaca Tonkeana
Mandrillus_leucophaeus	Mandrillus Leucophaeus
Mandrillus_sphinx	Mandrillus Sphinx
asalis_larvatus	Asalis Larvatus
Pan_paniscus	Pan Paniscus
Pan_troglodytes	Pan Troglodytes
Papio_anubis	Papio Anubis
Papio_cynocephalus	Papio Cynocephalus
Papio_hamadryas	Papio Hamadryas
Pongo_pygmaeus	Pongo Pygmaeus
Pongo_pygmaeus_abelii	Pongo Pygmaeus Abelii
Presbytis_francoisi	Presbytis Francoisi
Presbytis_phayrei	Presbytis Phayrei
Presbytis_senex	Presbytis Senex
Procolobus_badius	Procolobus Badius
Pygathrix_nemaeus	Pygathrix Nemaeus
Pygathrix_roxellana	Pygathrix Roxellana
Rhinopithecus_avunculus	Rhinopithecus Avunculus
Rhinopithecus_bieti	Rhinopithecus Bieti
Semnopithecus_entellus	Semnopithecus Entellus
Trachypithecus_cristatus	Trachypithecus Cristatus
Trachypithecus_francoisi	Trachypithecus Francoisi
Trachypithecus_geei	Trachypithecus Geei
Trachypithecus_johnii	Trachypithecus Johnii
Trachypithecus_phayrei	Trachypithecus Phayrei
Trachypithecus_pileatus	Trachypithecus Pileatus
Trachypithecus_vetulus	Trachypithecus Vetulus
Macaca_Arctoides	Macaca Arctoides
