Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
810	0.270370	190	0.489474	1.997076	810	0.270370	0.312000	0.291246	
801	0.293383	199	0.487437	1.997076	801	0.293383	0.332000	0.294642	
813	0.233702	187	0.572193	1.997076	813	0.233702	0.297000	0.294823	
821	0.277710	179	0.513966	1.997076	821	0.277710	0.320000	0.296622	
849	0.268551	151	0.523179	1.997076	849	0.268551	0.307000	0.297314	
844	0.242891	156	0.538462	1.997076	844	0.242891	0.289000	0.296794	
848	0.268868	152	0.434211	1.997076	848	0.268868	0.294000	0.296630	
837	0.247312	163	0.478528	1.997076	837	0.247312	0.285000	0.295984	
818	0.253056	182	0.467033	1.997076	818	0.253056	0.292000	0.295774	
832	0.280048	168	0.404762	1.997076	832	0.280048	0.301000	0.296035	
813	0.273063	187	0.491979	1.997076	813	0.273063	0.314000	0.296891	
827	0.250302	173	0.549133	1.997076	827	0.250302	0.302000	0.297123	
798	0.239348	202	0.331683	1.997076	798	0.239348	0.258000	0.295422	
813	0.282903	187	0.422460	1.997076	813	0.282903	0.309000	0.295988	
824	0.270631	176	0.534091	1.997076	824	0.270631	0.317000	0.296828	
825	0.243636	175	0.485714	1.997076	825	0.243636	0.286000	0.296412	
830	0.242169	170	0.517647	1.997076	830	0.242169	0.289000	0.296137	
839	0.283671	161	0.447205	1.997076	839	0.283671	0.310000	0.296632	
824	0.254854	176	0.488636	1.997076	824	0.254854	0.296000	0.296610	
818	0.293399	182	0.423077	1.997076	818	0.293399	0.317000	0.297290	
826	0.230024	174	0.545977	1.997076	826	0.230024	0.285000	0.296894	
819	0.244200	181	0.469613	1.997076	819	0.244200	0.285000	0.296522	
823	0.223572	177	0.480226	1.997076	823	0.223572	0.269000	0.295688	
827	0.292624	173	0.560694	1.997076	827	0.292624	0.339000	0.296962	
837	0.253286	163	0.411043	1.997076	837	0.253286	0.279000	0.296449	
802	0.228180	198	0.449495	1.997076	802	0.228180	0.272000	0.295770	
823	0.261239	177	0.491525	1.997076	823	0.261239	0.302000	0.295938	
819	0.283272	181	0.519337	1.997076	819	0.283272	0.326000	0.296729	
827	0.267231	173	0.554913	1.997076	827	0.267231	0.317000	0.297249	
815	0.265031	185	0.459459	1.997076	815	0.265031	0.301000	0.297343	
817	0.237454	183	0.420765	1.997076	817	0.237454	0.271000	0.296700	
821	0.277710	179	0.508380	1.997076	821	0.277710	0.319000	0.297231	
839	0.246722	161	0.397516	1.997076	839	0.246722	0.271000	0.296621	
817	0.280294	183	0.409836	1.997076	817	0.280294	0.304000	0.296789	
820	0.247561	180	0.577778	1.997076	820	0.247561	0.307000	0.297016	
818	0.250611	182	0.417582	1.997076	818	0.250611	0.281000	0.296667	
841	0.269917	159	0.509434	1.997076	841	0.269917	0.308000	0.296909	
836	0.284689	164	0.506098	1.997076	836	0.284689	0.321000	0.297410	
829	0.275030	171	0.520468	1.997076	829	0.275030	0.317000	0.297810	
806	0.272953	194	0.381443	1.997076	806	0.272953	0.294000	0.297734	
814	0.239558	186	0.435484	1.997076	814	0.239558	0.276000	0.297308	
794	0.263224	206	0.504854	1.997076	794	0.263224	0.313000	0.297610	
815	0.283436	185	0.529730	1.997076	815	0.283436	0.329000	0.298202	
837	0.309438	163	0.447853	1.997076	837	0.309438	0.332000	0.298828	
837	0.270012	163	0.496933	1.997076	837	0.270012	0.307000	0.298976	
819	0.253968	181	0.392265	1.997076	819	0.253968	0.279000	0.298620	
826	0.249395	174	0.557471	1.997076	826	0.249395	0.303000	0.298697	
827	0.282950	173	0.554913	1.997076	827	0.282950	0.330000	0.299236	
825	0.231515	175	0.594286	1.997076	825	0.231515	0.295000	0.299164	
815	0.251534	185	0.497297	1.997076	815	0.251534	0.297000	0.299128	
834	0.247002	166	0.493976	1.997076	834	0.247002	0.288000	0.298946	
831	0.258724	169	0.461538	1.997076	831	0.258724	0.293000	0.298850	
844	0.259479	156	0.423077	1.997076	844	0.259479	0.285000	0.298630	
802	0.223192	198	0.489899	1.997076	802	0.223192	0.276000	0.298277	
820	0.289024	180	0.427778	1.997076	820	0.289024	0.314000	0.298518	
801	0.287141	199	0.376884	1.997076	801	0.287141	0.305000	0.298617	
814	0.270270	186	0.462366	1.997076	814	0.270270	0.306000	0.298727	
806	0.245658	194	0.432990	1.997076	806	0.245658	0.282000	0.298481	
811	0.230580	189	0.460317	1.997076	811	0.230580	0.274000	0.298126	
845	0.243787	155	0.522581	1.997076	845	0.243787	0.287000	0.297967	
837	0.265233	163	0.503067	1.997076	837	0.265233	0.304000	0.298052	
822	0.293187	178	0.477528	1.997076	822	0.293187	0.326000	0.298440	
840	0.285714	160	0.418750	1.997076	840	0.285714	0.307000	0.298558	
827	0.235792	173	0.595376	1.997076	827	0.235792	0.298000	0.298550	
816	0.236520	184	0.576087	1.997076	816	0.236520	0.299000	0.298556	
829	0.266586	171	0.508772	1.997076	829	0.266586	0.308000	0.298680	
837	0.268817	163	0.453988	1.997076	837	0.268817	0.299000	0.298684	
830	0.295181	170	0.541176	1.997076	830	0.295181	0.337000	0.299176	
837	0.254480	163	0.220859	1.997076	837	0.254480	0.249000	0.298541	
846	0.249409	154	0.467532	1.997076	846	0.249409	0.283000	0.298346	
800	0.263750	200	0.285000	1.997076	800	0.263750	0.268000	0.297972	
830	0.278313	170	0.588235	1.997076	830	0.278313	0.331000	0.298374	
831	0.219013	169	0.538462	1.997076	831	0.219013	0.273000	0.298069	
819	0.261294	181	0.475138	1.997076	819	0.261294	0.300000	0.298092	
838	0.242243	162	0.549383	1.997076	838	0.242243	0.292000	0.298020	
809	0.234858	191	0.507853	1.997076	809	0.234858	0.287000	0.297892	
827	0.262394	173	0.369942	1.997076	827	0.262394	0.281000	0.297698	
819	0.227106	181	0.469613	1.997076	819	0.227106	0.271000	0.297394	
811	0.281134	189	0.582011	1.997076	811	0.281134	0.338000	0.297851	
834	0.238609	166	0.475904	1.997076	834	0.238609	0.278000	0.297630	
835	0.273054	165	0.575758	1.997076	835	0.273054	0.323000	0.297909	
829	0.281062	171	0.543860	1.997076	829	0.281062	0.326000	0.298214	
832	0.281250	168	0.547619	1.997076	832	0.281250	0.326000	0.298513	
820	0.243902	180	0.500000	1.997076	820	0.243902	0.290000	0.298422	
831	0.237064	169	0.526627	1.997076	831	0.237064	0.286000	0.298292	
813	0.308733	187	0.427807	1.997076	813	0.308733	0.331000	0.298632	
828	0.219807	172	0.523256	1.997076	828	0.219807	0.272000	0.298358	
823	0.239368	177	0.480226	1.997076	823	0.239368	0.282000	0.298191	
828	0.229469	172	0.540698	1.997076	828	0.229469	0.283000	0.298037	
823	0.269745	177	0.480226	1.997076	823	0.269745	0.307000	0.298127	
816	0.279412	184	0.385870	1.997076	816	0.279412	0.299000	0.298136	
826	0.240920	174	0.517241	1.997076	826	0.240920	0.289000	0.298046	
838	0.270883	162	0.493827	1.997076	838	0.270883	0.307000	0.298133	
821	0.249695	179	0.446927	1.997076	821	0.249695	0.285000	0.298007	
833	0.262905	167	0.520958	1.997076	833	0.262905	0.306000	0.298083	
835	0.281437	165	0.509091	1.997076	835	0.281437	0.319000	0.298280	
836	0.230861	164	0.500000	1.997076	836	0.230861	0.275000	0.298063	
831	0.223827	169	0.461538	1.997076	831	0.223827	0.264000	0.297747	
793	0.252207	207	0.492754	1.997076	793	0.252207	0.302000	0.297786	
817	0.291310	183	0.535519	1.997076	817	0.291310	0.336000	0.298134	
843	0.255042	157	0.471338	1.997076	843	0.255042	0.289000	0.298051	
824	0.265777	176	0.579545	1.997076	824	0.265777	0.321000	0.298256	
799	0.282854	201	0.522388	1.997076	799	0.282854	0.331000	0.298546	
810	0.262963	190	0.442105	1.997076	810	0.262963	0.297000	0.298532	
817	0.285190	183	0.562842	1.997076	817	0.285190	0.336000	0.298858	
813	0.274293	187	0.491979	1.997076	813	0.274293	0.315000	0.298997	
802	0.261845	198	0.515152	1.997076	802	0.261845	0.312000	0.299109	
826	0.272397	174	0.448276	1.997076	826	0.272397	0.303000	0.299142	
832	0.254808	168	0.464286	1.997076	832	0.254808	0.290000	0.299065	
831	0.233454	169	0.615385	1.997076	831	0.233454	0.298000	0.299056	
840	0.255952	160	0.512500	1.997076	840	0.255952	0.297000	0.299039	
835	0.240719	165	0.375758	1.997076	835	0.240719	0.263000	0.298743	
840	0.253571	160	0.287500	1.997076	840	0.253571	0.259000	0.298420	
834	0.257794	166	0.566265	1.997076	834	0.257794	0.309000	0.298506	
822	0.242092	178	0.483146	1.997076	822	0.242092	0.285000	0.298398	
816	0.231618	184	0.527174	1.997076	816	0.231618	0.286000	0.298299	
